Feature\Product;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;
OPENSSL_NO_CAMELLIA;-;X;X;-;X;-;X;-;-;X;-;X;-;-;X;X;-;-;-;
OPENSSL_NO_CAPIENG;-;X;X;X;-;-;-;X;-;X;X;X;-;-;-;-;-;-;-;
OPENSSL_NO_CAST;-;X;-;X;X;-;-;X;-;-;X;X;X;-;-;-;-;-;-;
OPENSSL_NO_CHAIN_VERIFY;-;X;-;-;X;X;X;-;X;-;X;-;-;X;-;-;-;-;-;
OPENSSL_NO_CMS;-;X;-;X;-;X;-;X;-;X;X;X;-;-;X;-;-;-;-;
OPENSSL_NO_COMP;-;-;X;-;X;-;X;X;X;X;X;-;-;-;-;-;-;-;-;
OPENSSL_NO_DECC_INIT;-;-;X;X;-;X;X;-;-;X;X;-;X;-;X;-;-;-;-;
OPENSSL_NO_DEPRECATED;-;X;-;X;X;X;-;-;X;-;X;-;-;X;X;-;-;-;-;
OPENSSL_NO_DES;X;X;-;-;X;-;-;X;-;X;X;-;-;-;X;-;-;-;-;
OPENSSL_NO_DESCBCM;-;-;X;X;-;X;X;-;-;X;-;X;X;X;-;-;-;-;-;
OPENSSL_NO_DGRAM;-;-;X;X;X;-;X;-;-;-;X;X;X;-;-;-;-;-;-;
OPENSSL_NO_DH;-;X;-;X;-;-;X;-;X;X;X;X;-;-;X;-;-;-;-;
OPENSSL_NO_DSA;-;-;X;X;-;X;-;X;X;-;-;-;X;-;X;-;-;-;-;
OPENSSL_NO_DTLS1;-;X;X;-;-;X;X;-;-;X;-;X;-;-;X;X;-;-;-;
OPENSSL_NO_DYNAMIC_ENGINE;-;-;X;X;X;-;X;-;-;-;X;X;-;-;X;-;-;-;-;
OPENSSL_NO_EC;-;X;-;X;-;-;X;-;X;X;X;X;X;-;-;X;-;-;-;
